timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,10548,1.84,0.77,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 15:00:00+022831198,2831198,Sonnenberg,2019-05-28 15:00:00+02,16.4925,51,1009,4.04144407,257.5374219,,2019,5,28,15
2019-05-28 16:00:00+02,10548,2.888,1.048,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 16:00:00+022831198,2831198,Sonnenberg,2019-05-28 16:00:00+02,16.9825,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,10548,1.994,0.984,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 17:00:00+022831198,2831198,Sonnenberg,2019-05-28 17:00:00+02,17.04,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,10548,3.063333333,1.401666667,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 18:00:00+022831198,2831198,Sonnenberg,2019-05-28 18:00:00+02,16.0625,50,1009.5,4.625911368,285.5155819,,2019,5,28,18
2019-05-28 19:00:00+02,10548,2.651666667,1.273333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 19:00:00+022831198,2831198,Sonnenberg,2019-05-28 19:00:00+02,15.325,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,10548,1.485,0.913333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 20:00:00+022831198,2831198,Sonnenberg,2019-05-28 20:00:00+02,14.5475,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,10548,1.345,0.883333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 21:00:00+022831198,2831198,Sonnenberg,2019-05-28 21:00:00+02,13.58,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,10548,1.898,1.368,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 22:00:00+022831198,2831198,Sonnenberg,2019-05-28 22:00:00+02,12.4125,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,10548,2.104,1.25,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-28 23:00:00+022831198,2831198,Sonnenberg,2019-05-28 23:00:00+02,11.5925,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,10548,2.171666667,1.4,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 00:00:00+022831198,2831198,Sonnenberg,2019-05-29 00:00:00+02,10.93,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
2019-05-29 01:00:00+02,10548,1.616,1.176,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 01:00:00+022831198,2831198,Sonnenberg,2019-05-29 01:00:00+02,9.9875,84,1014,0,0,,2019,5,29,1
2019-05-29 02:00:00+02,10548,1.63,1.222,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 02:00:00+022831198,2831198,Sonnenberg,2019-05-29 02:00:00+02,9.605,84,1014.5,1.8,220,,2019,5,29,2
2019-05-29 03:00:00+02,10548,4.236666667,3.348333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 03:00:00+022831198,2831198,Sonnenberg,2019-05-29 03:00:00+02,9.275,84,1015,1.5,250,,2019,5,29,3
2019-05-29 04:00:00+02,10548,8.572,6.828,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 04:00:00+022831198,2831198,Sonnenberg,2019-05-29 04:00:00+02,8.765,87,1015,2.590106215,305,,2019,5,29,4
2019-05-29 05:00:00+02,10548,12.37,9.968,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 05:00:00+022831198,2831198,Sonnenberg,2019-05-29 05:00:00+02,9.14,87,1016,2.6,300,,2019,5,29,5
2019-05-29 06:00:00+02,10548,15.97333333,13.17,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 06:00:00+022831198,2831198,Sonnenberg,2019-05-29 06:00:00+02,9.1425,87,1016.25,2.217998845,312.9169738,,2019,5,29,6
2019-05-29 07:00:00+02,10548,16.91666667,14.13,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 07:00:00+022831198,2831198,Sonnenberg,2019-05-29 07:00:00+02,10.1975,87,1017.5,2.447740005,321.117861,,2019,5,29,7
2019-05-29 08:00:00+02,10548,13.802,11.696,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 08:00:00+022831198,2831198,Sonnenberg,2019-05-29 08:00:00+02,10.4925,84,1018,3.337323368,325.3740791,,2019,5,29,8
2019-05-29 09:00:00+02,10548,11.49,9.616,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 09:00:00+022831198,2831198,Sonnenberg,2019-05-29 09:00:00+02,11.31333333,83,1019,3.256978871,337.3515933,,2019,5,29,9
2019-05-29 10:00:00+02,10548,8.468,7.47,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 10:00:00+022831198,2831198,Sonnenberg,2019-05-29 10:00:00+02,12.81666667,85,1019.666667,2.071665402,323.3637274,,2019,5,29,10
2019-05-29 11:00:00+02,10548,5.841666667,4.975,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 11:00:00+022831198,2831198,Sonnenberg,2019-05-29 11:00:00+02,13.2075,76,1020,2.807037809,299.1138609,,2019,5,29,11
2019-05-29 12:00:00+02,10548,4.095,3.67,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 12:00:00+022831198,2831198,Sonnenberg,2019-05-29 12:00:00+02,13.6875,73.5,1020,3.791758371,340.6559968,,2019,5,29,12
2019-05-29 13:00:00+02,10548,4.25,3.373333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 13:00:00+022831198,2831198,Sonnenberg,2019-05-29 13:00:00+02,14.625,67,1020,4.6,360,,2019,5,29,13
2019-05-29 14:00:00+02,10548,3.261666667,2.638333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 14:00:00+022831198,2831198,Sonnenberg,2019-05-29 14:00:00+02,14.9175,62,1021,4.037711787,350,,2019,5,29,14
2019-05-29 15:00:00+02,10548,3.121666667,2.718333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 15:00:00+022831198,2831198,Sonnenberg,2019-05-29 15:00:00+02,14.64,66.5,1021,5.318217017,340.5612483,,2019,5,29,15
2019-05-29 16:00:00+02,10548,1.978333333,1.538333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 16:00:00+022831198,2831198,Sonnenberg,2019-05-29 16:00:00+02,14.99,64.5,1021,5.1,340,,2019,5,29,16
2019-05-29 17:00:00+02,10548,1.716666667,1.55,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 17:00:00+022831198,2831198,Sonnenberg,2019-05-29 17:00:00+02,14.1475,60,1021.5,4.827557175,328.35102,,2019,5,29,17
2019-05-29 18:00:00+02,10548,2.166666667,1.698333333,SRID=4326;POINT(9.154 48.734 432.6),2831198,2019-05-29 18:00:00+022831198,2831198,Sonnenberg,2019-05-29 18:00:00+02,13.8625,71.5,1022,3.088511014,84.19154863,,2019,5,29,18
