timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,25341,5.3,1.01,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 15:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 15:00:00+02,16.5775,51,1009,4.04144407,257.5374219,,2019,5,28,15
2019-05-28 16:00:00+02,25341,4.011666667,0.975,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 16:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 16:00:00+02,17.095,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,25341,3.35,0.873333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 17:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 17:00:00+02,17.33,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,25341,5.41,1.308333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 18:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 18:00:00+02,16.3725,50,1009.5,4.625911368,285.5155819,,2019,5,28,18
2019-05-28 19:00:00+02,25341,3.418,1.046,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 19:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 19:00:00+02,15.6775,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,25341,2.388,0.72,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 20:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 20:00:00+02,14.73,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,25341,2.388333333,0.786666667,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 21:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 21:00:00+02,13.795,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,25341,2.058333333,0.743333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 22:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 22:00:00+02,12.505,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,25341,3.105,0.88,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-28 23:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-28 23:00:00+02,11.6375,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,25341,2.77,0.824,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 00:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 00:00:00+02,11.075,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
2019-05-29 01:00:00+02,25341,2.578,0.95,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 01:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 01:00:00+02,10.01,84,1014,0,0,,2019,5,29,1
2019-05-29 02:00:00+02,25341,3.221666667,1.143333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 02:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 02:00:00+02,9.6125,84,1014.5,1.8,220,,2019,5,29,2
2019-05-29 03:00:00+02,25341,8.456666667,4.943333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 03:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 03:00:00+02,9.415,84,1015,1.5,250,,2019,5,29,3
2019-05-29 04:00:00+02,25341,25.732,14.952,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 04:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 04:00:00+02,8.945,87,1015,2.590106215,305,,2019,5,29,4
2019-05-29 05:00:00+02,25341,38.568,20.918,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 05:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 05:00:00+02,9.08,87,1016,2.6,300,,2019,5,29,5
2019-05-29 06:00:00+02,25341,49.60666667,26.16666667,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 06:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 06:00:00+02,9.425,87,1016.25,2.217998845,312.9169738,,2019,5,29,6
2019-05-29 07:00:00+02,25341,35.53833333,21.81166667,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 07:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 07:00:00+02,10.205,87,1017.5,2.447740005,321.117861,,2019,5,29,7
2019-05-29 08:00:00+02,25341,25.90666667,16.585,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 08:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 08:00:00+02,10.73,84,1018,3.337323368,325.3740791,,2019,5,29,8
2019-05-29 09:00:00+02,25341,17.8275,12.025,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 09:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 09:00:00+02,11.44333333,83,1019,3.256978871,337.3515933,,2019,5,29,9
2019-05-29 10:00:00+02,25341,9.536,6.718,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 10:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 10:00:00+02,12.84,85,1019.666667,2.071665402,323.3637274,,2019,5,29,10
2019-05-29 11:00:00+02,25341,5.701666667,3.625,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 11:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 11:00:00+02,13.3875,76,1020,2.807037809,299.1138609,,2019,5,29,11
2019-05-29 12:00:00+02,25341,4.686666667,2.733333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 12:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 12:00:00+02,13.77,73.5,1020,3.791758371,340.6559968,,2019,5,29,12
2019-05-29 13:00:00+02,25341,4.391666667,2.29,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 13:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 13:00:00+02,14.765,67,1020,4.6,360,,2019,5,29,13
2019-05-29 14:00:00+02,25341,3.833333333,2.08,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 14:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 14:00:00+02,15.0425,62,1021,4.037711787,350,,2019,5,29,14
2019-05-29 15:00:00+02,25341,4.845,2.841666667,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 15:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 15:00:00+02,14.67,66.5,1021,5.318217017,340.5612483,,2019,5,29,15
2019-05-29 16:00:00+02,25341,2.475,1.408333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 16:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 16:00:00+02,15.0075,64.5,1021,5.1,340,,2019,5,29,16
2019-05-29 17:00:00+02,25341,1.725,1.096666667,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 17:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 17:00:00+02,14.1525,60,1021.5,4.827557175,328.35102,,2019,5,29,17
2019-05-29 18:00:00+02,25341,1.735,1.006666667,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 18:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 18:00:00+02,14.015,71.5,1022,3.088511014,84.19154863,,2019,5,29,18
2019-05-29 19:00:00+02,25341,2.381666667,1.283333333,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 19:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 19:00:00+02,13.8075,73.5,1022,2.91806237,63.35968575,,2019,5,29,19
2019-05-29 20:00:00+02,25341,1.483333333,0.996666667,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 20:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 20:00:00+02,13.115,71,1022.5,2.1,40,,2019,5,29,20
2019-05-29 21:00:00+02,25341,1.758333333,1.24,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 21:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 21:00:00+02,11.895,73.5,1023,0.901387819,226.1021138,,2019,5,29,21
2019-05-29 22:00:00+02,25341,1.893333333,1.5,SRID=4326;POINT(9.154 48.792 896.8),2927043,2019-05-29 22:00:00+022927043,2927043,Stuttgart Feuerbach,2019-05-29 22:00:00+02,10.04,84,1024,1.423877449,304.3952642,,2019,5,29,22
