timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,287,3.86,1.05,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 15:00:00+022923448,2923448,Gablenberg,2019-05-28 15:00:00+02,16.575,51,1009,4.04144407,257.5374219,,2019,5,28,15
2019-05-28 16:00:00+02,287,5.226666667,1.165,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 16:00:00+022923448,2923448,Gablenberg,2019-05-28 16:00:00+02,17.0475,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,287,2.96,0.991666667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 17:00:00+022923448,2923448,Gablenberg,2019-05-28 17:00:00+02,17.1825,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,287,6.928,1.916,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 18:00:00+022923448,2923448,Gablenberg,2019-05-28 18:00:00+02,16.2325,50,1009.5,4.625911368,285.5155819,,2019,5,28,18
2019-05-28 19:00:00+02,287,5.833333333,1.685,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 19:00:00+022923448,2923448,Gablenberg,2019-05-28 19:00:00+02,15.3925,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,287,5.002,1.514,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 20:00:00+022923448,2923448,Gablenberg,2019-05-28 20:00:00+02,14.6025,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,287,4.203333333,1.321666667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 21:00:00+022923448,2923448,Gablenberg,2019-05-28 21:00:00+02,13.56,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,287,4.838333333,2.25,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 22:00:00+022923448,2923448,Gablenberg,2019-05-28 22:00:00+02,12.3575,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,287,3.458,1.578,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-28 23:00:00+022923448,2923448,Gablenberg,2019-05-28 23:00:00+02,11.565,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,287,3.725,1.413333333,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 00:00:00+022923448,2923448,Gablenberg,2019-05-29 00:00:00+02,10.8275,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
2019-05-29 01:00:00+02,287,4.143333333,1.511666667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 01:00:00+022923448,2923448,Gablenberg,2019-05-29 01:00:00+02,9.975,84,1014,0,0,,2019,5,29,1
2019-05-29 02:00:00+02,287,4.062,1.986,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 02:00:00+022923448,2923448,Gablenberg,2019-05-29 02:00:00+02,9.56,84,1014.5,1.8,220,,2019,5,29,2
2019-05-29 03:00:00+02,287,13.87333333,7.758333333,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 03:00:00+022923448,2923448,Gablenberg,2019-05-29 03:00:00+02,9.28,84,1015,1.5,250,,2019,5,29,3
2019-05-29 04:00:00+02,287,31.67,17.706,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 04:00:00+022923448,2923448,Gablenberg,2019-05-29 04:00:00+02,8.8575,87,1015,2.590106215,305,,2019,5,29,4
2019-05-29 05:00:00+02,287,39.72666667,21.27333333,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 05:00:00+022923448,2923448,Gablenberg,2019-05-29 05:00:00+02,9.18,87,1016,2.6,300,,2019,5,29,5
2019-05-29 06:00:00+02,287,48.80166667,26.93166667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 06:00:00+022923448,2923448,Gablenberg,2019-05-29 06:00:00+02,9.34,87,1016.25,2.217998845,312.9169738,,2019,5,29,6
2019-05-29 07:00:00+02,287,47.022,25.98,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 07:00:00+022923448,2923448,Gablenberg,2019-05-29 07:00:00+02,10.0525,87,1017.5,2.447740005,321.117861,,2019,5,29,7
2019-05-29 08:00:00+02,287,33.61,19.575,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 08:00:00+022923448,2923448,Gablenberg,2019-05-29 08:00:00+02,10.7,84,1018,3.337323368,325.3740791,,2019,5,29,8
2019-05-29 09:00:00+02,287,21.04333333,13.23333333,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 09:00:00+022923448,2923448,Gablenberg,2019-05-29 09:00:00+02,11.47,83,1019,3.256978871,337.3515933,,2019,5,29,9
2019-05-29 10:00:00+02,287,22.512,10.948,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 10:00:00+022923448,2923448,Gablenberg,2019-05-29 10:00:00+02,12.82,85,1019.666667,2.071665402,323.3637274,,2019,5,29,10
2019-05-29 11:00:00+02,287,8.563333333,5.373333333,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 11:00:00+022923448,2923448,Gablenberg,2019-05-29 11:00:00+02,13.1575,76,1020,2.807037809,299.1138609,,2019,5,29,11
2019-05-29 12:00:00+02,287,6.563333333,4.301666667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 12:00:00+022923448,2923448,Gablenberg,2019-05-29 12:00:00+02,13.7275,73.5,1020,3.791758371,340.6559968,,2019,5,29,12
2019-05-29 13:00:00+02,287,7.503333333,3.241666667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 13:00:00+022923448,2923448,Gablenberg,2019-05-29 13:00:00+02,14.5875,67,1020,4.6,360,,2019,5,29,13
2019-05-29 14:00:00+02,287,6.573333333,3.528333333,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 14:00:00+022923448,2923448,Gablenberg,2019-05-29 14:00:00+02,14.9175,62,1021,4.037711787,350,,2019,5,29,14
2019-05-29 15:00:00+02,287,4.901666667,2.516666667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 15:00:00+022923448,2923448,Gablenberg,2019-05-29 15:00:00+02,14.6675,66.5,1021,5.318217017,340.5612483,,2019,5,29,15
2019-05-29 16:00:00+02,287,2.34,1.298333333,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 16:00:00+022923448,2923448,Gablenberg,2019-05-29 16:00:00+02,15.0225,64.5,1021,5.1,340,,2019,5,29,16
2019-05-29 17:00:00+02,287,2.551666667,1.405,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 17:00:00+022923448,2923448,Gablenberg,2019-05-29 17:00:00+02,14.18,60,1021.5,4.827557175,328.35102,,2019,5,29,17
2019-05-29 18:00:00+02,287,2.585,1.456666667,SRID=4326;POINT(9.198 48.77 353.5),2923448,2019-05-29 18:00:00+022923448,2923448,Gablenberg,2019-05-29 18:00:00+02,13.8875,71.5,1022,3.088511014,84.19154863,,2019,5,29,18
