timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,789,3.98,1.38,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 15:00:00+022803756,2803756,Zuffenhausen,2019-05-28 15:00:00+02,16.575,51,1009,4.04144407,257.5374219,,2019,5,28,15
2019-05-28 16:00:00+02,789,3.131666667,1.075,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 16:00:00+022803756,2803756,Zuffenhausen,2019-05-28 16:00:00+02,17.075,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,789,3.473333333,1.308333333,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 17:00:00+022803756,2803756,Zuffenhausen,2019-05-28 17:00:00+02,17.325,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,789,3.804,1.452,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 18:00:00+022803756,2803756,Zuffenhausen,2019-05-28 18:00:00+02,16.315,50,1009.5,4.625911368,285.5155819,,2019,5,28,18
2019-05-28 19:00:00+02,789,2.432,1.144,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 19:00:00+022803756,2803756,Zuffenhausen,2019-05-28 19:00:00+02,15.6325,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,789,1.503333333,0.923333333,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 20:00:00+022803756,2803756,Zuffenhausen,2019-05-28 20:00:00+02,14.77,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,789,2.233333333,1.025,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 21:00:00+022803756,2803756,Zuffenhausen,2019-05-28 21:00:00+02,13.785,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,789,2.65,1.108333333,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 22:00:00+022803756,2803756,Zuffenhausen,2019-05-28 22:00:00+02,12.4925,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,789,1.992,1.228,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-28 23:00:00+022803756,2803756,Zuffenhausen,2019-05-28 23:00:00+02,11.655,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,789,1.516666667,1.006666667,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-29 00:00:00+022803756,2803756,Zuffenhausen,2019-05-29 00:00:00+02,11.06,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
2019-05-29 01:00:00+02,789,1.99,1.158333333,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-29 01:00:00+022803756,2803756,Zuffenhausen,2019-05-29 01:00:00+02,10.0175,84,1014,0,0,,2019,5,29,1
2019-05-29 02:00:00+02,789,3.05,1.93,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-29 02:00:00+022803756,2803756,Zuffenhausen,2019-05-29 02:00:00+02,9.5925,84,1014.5,1.8,220,,2019,5,29,2
2019-05-29 03:00:00+02,789,9.034,7.284,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-29 03:00:00+022803756,2803756,Zuffenhausen,2019-05-29 03:00:00+02,9.415,84,1015,1.5,250,,2019,5,29,3
2019-05-29 04:00:00+02,789,12.958,9.87,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-29 04:00:00+022803756,2803756,Zuffenhausen,2019-05-29 04:00:00+02,8.945,87,1015,2.590106215,305,,2019,5,29,4
2019-05-29 05:00:00+02,789,19.35666667,14.59166667,SRID=4326;POINT(9.156 48.844 320.4),2803756,2019-05-29 05:00:00+022803756,2803756,Zuffenhausen,2019-05-29 05:00:00+02,9.1075,87,1016,2.6,300,,2019,5,29,5
