timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,209,4.02,2.34,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 15:00:00+022812503,2812503,Weilimdorf,2019-05-28 15:00:00+02,17.085,52,1009,3.932371862,260.6957956,,2019,5,28,15
2019-05-28 16:00:00+02,209,4.332,2.81,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 16:00:00+022812503,2812503,Weilimdorf,2019-05-28 16:00:00+02,17.4925,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,209,5.058333333,3.3,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 17:00:00+022812503,2812503,Weilimdorf,2019-05-28 17:00:00+02,17.485,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,209,6.26,3.388333333,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 18:00:00+022812503,2812503,Weilimdorf,2019-05-28 18:00:00+02,16.6,50,1009.5,4.625911368,285.5155819,,2019,5,28,18
2019-05-28 19:00:00+02,209,4.462,2.646,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 19:00:00+022812503,2812503,Weilimdorf,2019-05-28 19:00:00+02,16.03,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,209,2.93,2.27,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 20:00:00+022812503,2812503,Weilimdorf,2019-05-28 20:00:00+02,15.0325,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,209,2.856,1.948,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 21:00:00+022812503,2812503,Weilimdorf,2019-05-28 21:00:00+02,13.875,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,209,3.208,2.298,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 22:00:00+022812503,2812503,Weilimdorf,2019-05-28 22:00:00+02,12.805,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,209,3.663333333,2.553333333,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-28 23:00:00+022812503,2812503,Weilimdorf,2019-05-28 23:00:00+02,12.0625,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,209,3.365,2.395,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-29 00:00:00+022812503,2812503,Weilimdorf,2019-05-29 00:00:00+02,11.37,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
2019-05-29 01:00:00+02,209,3.662,2.448,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-29 01:00:00+022812503,2812503,Weilimdorf,2019-05-29 01:00:00+02,10.425,84,1014,0,0,,2019,5,29,1
2019-05-29 02:00:00+02,209,5.336,3.388,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-29 02:00:00+022812503,2812503,Weilimdorf,2019-05-29 02:00:00+02,9.6625,84,1014.5,1.8,220,,2019,5,29,2
2019-05-29 03:00:00+02,209,14.05166667,8.35,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-29 03:00:00+022812503,2812503,Weilimdorf,2019-05-29 03:00:00+02,9.5875,84,1015,1.5,250,,2019,5,29,3
2019-05-29 04:00:00+02,209,22.934,12.414,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-29 04:00:00+022812503,2812503,Weilimdorf,2019-05-29 04:00:00+02,9.125,87,1015,2.590106215,305,,2019,5,29,4
2019-05-29 05:00:00+02,209,36.194,17.232,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-29 05:00:00+022812503,2812503,Weilimdorf,2019-05-29 05:00:00+02,9.3275,87,1016,2.6,300,,2019,5,29,5
2019-05-29 06:00:00+02,209,48.23333333,21.775,SRID=4326;POINT(9.12 48.81 343.8),2812503,2019-05-29 06:00:00+022812503,2812503,Weilimdorf,2019-05-29 06:00:00+02,9.6225,87,1016.25,2.217998845,312.9169738,,2019,5,29,6
