timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,9900,2.3,1.07,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 15:00:00+022905398,2905398,Heslach,2019-05-28 15:00:00+02,16.59,51,1009,4.04144407,257.5374219,,2019,5,28,15
2019-05-28 16:00:00+02,9900,1.683333333,1.091666667,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 16:00:00+022905398,2905398,Heslach,2019-05-28 16:00:00+02,17.005,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,9900,5.6,2.855,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 17:00:00+022905398,2905398,Heslach,2019-05-28 17:00:00+02,17.15,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,9900,2.296,1.392,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 18:00:00+022905398,2905398,Heslach,2019-05-28 18:00:00+02,16.2325,50,1009.5,4.625911368,285.5155819,,2019,5,28,18
2019-05-28 19:00:00+02,9900,2.408333333,1.305,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 19:00:00+022905398,2905398,Heslach,2019-05-28 19:00:00+02,15.66,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,9900,1.91,1.082,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 20:00:00+022905398,2905398,Heslach,2019-05-28 20:00:00+02,14.7625,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,9900,1.58,0.976666667,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 21:00:00+022905398,2905398,Heslach,2019-05-28 21:00:00+02,13.785,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,9900,1.116,0.946,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 22:00:00+022905398,2905398,Heslach,2019-05-28 22:00:00+02,12.505,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,9900,1.288,0.916,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-28 23:00:00+022905398,2905398,Heslach,2019-05-28 23:00:00+02,11.6275,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,9900,1.566666667,0.916666667,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-29 00:00:00+022905398,2905398,Heslach,2019-05-29 00:00:00+02,11.06,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
2019-05-29 01:00:00+02,9900,1.324,1.07,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-29 01:00:00+022905398,2905398,Heslach,2019-05-29 01:00:00+02,10.0125,84,1014,0,0,,2019,5,29,1
2019-05-29 02:00:00+02,9900,1.98,1.338,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-29 02:00:00+022905398,2905398,Heslach,2019-05-29 02:00:00+02,9.595,84,1014.5,1.8,220,,2019,5,29,2
2019-05-29 03:00:00+02,9900,4.376,3.198,SRID=4326;POINT(9.154 48.772 303.9),2905398,2019-05-29 03:00:00+022905398,2905398,Heslach,2019-05-29 03:00:00+02,9.415,84,1015,1.5,250,,2019,5,29,3
