timestamp,sensorid,p1hr,p2hr,geom3d,LocidWeth,mergesens,locid,name,timestampW,temperatur,humidity,pressure,windspeed,winddirect,rain,Year,Month,Date,gmt
2019-05-28 15:00:00+02,7193,3.45,1.48,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 15:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 15:00:00+02,16.595,51,1009,4.04144407,257.5374219,,2019,5,28,15
2019-05-28 16:00:00+02,7193,4.13,1.584,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 16:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 16:00:00+02,17.0575,53.5,1009,4.333939913,265.8641985,,2019,5,28,16
2019-05-28 17:00:00+02,7193,3.686,1.45,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 17:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 17:00:00+02,17.325,65,1009,3.856533157,222.5414975,nan(snan),2019,5,28,17
2019-05-28 18:00:00+02,7193,4.428,1.822,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 18:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 18:00:00+02,16.3475,50,1009.5,4.625911368,285.5155819,,2019,5,28,18
2019-05-28 19:00:00+02,7193,3.902,1.756,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 19:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 19:00:00+02,15.6275,56.5,1010,5.4,290,,2019,5,28,19
2019-05-28 20:00:00+02,7193,2.31,1.396,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 20:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 20:00:00+02,14.7725,67,1011,2.839907271,253.6810932,,2019,5,28,20
2019-05-28 21:00:00+02,7193,7.118,3.106,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 21:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 21:00:00+02,13.745,69,1011.5,1.773419262,188.3166858,,2019,5,28,21
2019-05-28 22:00:00+02,7193,3.102,1.62,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 22:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 22:00:00+02,12.505,81,1012.5,1.494292047,225,,2019,5,28,22
2019-05-28 23:00:00+02,7193,2.966,1.768,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-28 23:00:00+022828042,2828042,Steinhaldenfeld,2019-05-28 23:00:00+02,11.6375,81,1013,1.793341075,235.835396,,2019,5,28,23
2019-05-29 00:00:00+02,7193,2.611666667,1.775,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-29 00:00:00+022828042,2828042,Steinhaldenfeld,2019-05-29 00:00:00+02,11.06,73.5,1013.5,3.054138416,261.6290434,,2019,5,29,0
2019-05-29 01:00:00+02,7193,2.644,1.928,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-29 01:00:00+022828042,2828042,Steinhaldenfeld,2019-05-29 01:00:00+02,10.01,84,1014,0,0,,2019,5,29,1
2019-05-29 02:00:00+02,7193,3.212,2.11,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-29 02:00:00+022828042,2828042,Steinhaldenfeld,2019-05-29 02:00:00+02,9.5975,84,1014.5,1.8,220,,2019,5,29,2
2019-05-29 03:00:00+02,7193,8.16,6.216,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-29 03:00:00+022828042,2828042,Steinhaldenfeld,2019-05-29 03:00:00+02,9.415,84,1015,1.5,250,,2019,5,29,3
2019-05-29 04:00:00+02,7193,14.612,11.704,SRID=4326;POINT(9.244 48.82 283.1),2828042,2019-05-29 04:00:00+022828042,2828042,Steinhaldenfeld,2019-05-29 04:00:00+02,8.945,87,1015,2.590106215,305,,2019,5,29,4
